,name,nationality
0,Karsten Albert,DE
1,Philip Albrecht,DE
2,Christian Alder,DE
3,Valentin Altenburg,DE
4,Anzeigenhauptmeister,DE
5,Clemens Arnold,DE
6,Helmut Bantz,DE
7,Stefan Barucha,DE
8,Nico Bastian,DE
9,Kim Bauermeister,DE
10,Christoph Bechmann,DE
11,Emil Beck,DE
12,Mathias Behounek,DE
13,Michael Behrmann,DE
14,Peter Bermel,DE
15,Jens-Peter Berndt,DE
16,Sascha Bert,DE
17,Michael Bezold,DE
18,Ole Bischof,DE
19,Ralf Bißdorf,DE
20,Jakob Blasel,DE
21,Matthias Blübaum,DE
22,Andy Böhme,DE
23,Lars Börgeling,DE
24,Elmar Borrmann,DE
25,Reinhold Bötzel,DE
26,Steffen Brand,DE
27,Ralf Braun,DE
28,Max von Braunmühl,DE
29,Matthias Brehme,DE
30,Wilhelm Brem,DE
31,Chris-Carol Bremer,DE
32,Martin Bremer,DE
33,Janina Breuer,DE
34,Peter Bruch,DE
35,Ralf Büchner,DE
36,Werner Bühse,DE
37,Ralph Brunner,DE
38,Christoph Prinz zu Schleswig-Holstein,DE
39,Philipp Crone,DE
40,Kurt Czekalla,DE
41,Bastian Dankert,DE
42,Carsten Dehmlow,DE
43,Frank Dehne,DE
44,Jacqueline Dietrich,DE
45,Jürgen Dietze,DE
46,Andy Dittmar,DE
47,Fabienne Dongus,DE
48,Gerd Dörich,DE
49,Isabel Drescher,DE
50,Hans-Peter Durst,DE
51,Michaela Ebert,DE
52,Markus Ebner,DE
53,Maik Eckhardt,DE
54,Tyler Edtmayer,DE
55,Christoph Eimer,DE
56,Mirko Englich,DE
57,Felix Erdmann,DE
58,Helmar Erlewein,DE
59,Peter Esenwein,DE
60,Colin von Ettingshausen,DE
61,Ingo Euler,DE
62,Thomas Fahrner,DE
63,Paul Falk,DE
64,Hans Fassnacht,DE
65,Joshua Filler,DE
66,Sven Fischer,DE
67,Willi Fuggerer,DE
68,Guido Fulst,DE
69,Philipp Fürst,DE
70,Jürgen Glas,DE
71,Bert Göbel,DE
72,Sven Goldemann,DE
73,Franz Göring,DE
74,Ludwig Gössing,DE
75,Detlev Grabs,DE
76,Manuel Gräfe,DE
77,Denise Grahl,DE
78,André Green (athlete),DE
79,Michael Greis,DE
80,Ricco Groß,DE
81,Norbert Grudzinski,DE
82,Wilfried Gruhn,DE
83,Hans Gstöttner,DE
84,Silko Günzel,DE
85,Daniel Gürschner,DE
86,Stephan Güsgen,DE
87,Manfred Haake,DE
88,Georg Hackl,DE
89,Klaus Haertter,DE
90,Arthur Hannemann,DE
91,Rainer Hanschke,DE
92,Thomas Happe,DE
93,Robert Hartmann (referee),DE
94,Wilfried Hartung,DE
95,Sebastian Haseney,DE
96,Dennis Haueisen,DE
97,Günter Havenstein,DE
98,Mike Hax,DE
99,Karl-Heinz Heddergott,DE
100,Gerhard Heer,DE
101,Aimo Heilmann,DE
